Sentiment	Text	Entity	Performance	Usability	Security	Others
p	"""There are other options like URL_http://en.wikipedia.org/wiki/Twofish [Twofish] , URL_http://en.wikipedia.org/wiki/Blowfish_(cipher) [Blowfish] etc also."""	Blowfish	0	0	0	1
p	"awt require javax.awt package."""	javax.awt	0	0	0	1
n	"""Unless you are looking to secure resources in the Java SE level (classes, System resources), I don't see any real use of JAAS other than the using the common class and interfaces."""	JAAS	0	1	1	0
o	"SLF4j because they also publish a log4j adapter so you don't have to """"switch out"""" log4j in older code - just make log4j.properties use SLF4j and it's configuration ."""	SLF4j	0	1	0	0
o	To Jens were you able to resolve the issue? I am having the same problem,To Ranjan: we currently use XDocReport for odt / docx processing.	XDocReport	0	0	0	1
n	"To RostislavMatl Maybe, I don't know Tapestry. But from the doc, I can see that it's an """"Adaptive API"""" but maybe it's not an """"Adaptive Pattern"""". I don't know how those annotations works exactly."",Hmm. Changing an enum type to add new members seems quest"	Tapestry	0	0	0	1
o	8 byte salt is generated in setupEncrypt() using SecureRandom()	SecureRandom()	0	1	1	0
o	"I've used that at the top of my onCreate method and also tried after setContentView but doesn't seem to make any difference. System print out confirms that the code is being run but it looks the same with or without the code.,""I have edited my answer, I checked its working now, please check."	setContentView	0	1	0	0
n	"To averasko, I don't think there is a valid way to define head() / tail() on an empty list"",""To LawrenceDol - seems like your issue is with the question, not this answer, since the answer addresses the question as asked.  your interpretation seems to be one o"	tail()	0	1	0	0
o	"RestAdapter restAdapter = new RestAdapter.Builder().setEndpoint("""",192.168.101.55/test"""").build(),;, should work right? it's for (version 1.5.0) right?"",To royherma did you find a way to give a field map name? I want one specific field to be a map"	RestAdapter.Builder().setEndpoint	0	0	0	1
o	Is it non-null?Then highlight someObject.getSomething() (including the parenthesis) and inspect it.Is it null?	someObject.getSomething()	0	0	0	1
o	If you can't use Commons IO (FileUtils/IOUtils/CopyUtils) here's an example using a BufferedReader to read the file line by line: CODESNIPPET_JAVA1 .	BufferedReader	0	1	0	0
o	"Argh, missed that one. That leaves only the deprecated stop() i believe?"",""Downvoting. The """"exit"""" call doesn't exit the script engine but the whole JVM."	stop()	0	1	0	0
o	I have switched between several IDEs and the one that I believe has the best GUI builder in terms of use and performance would have to be Netbeans.	Netbeans	0	1	0	0
n	"""""""rather than using native API's like DirectX on Windows"""": false, Swing uses Java2D, which may use DirectX when supported."""	DirectX	0	1	0	0
o	Using HTTPConnection and manual parsing of the result?	HTTPConnection	0	1	0	0
o	"""an SocketAppender since the event is serialized using the unchanged message pattern + the arguments as Strings.I guess it just depends how you define """"effectively"""" though."""	SocketAppender	0	0	0	1
o	"""Many libraries help you to do this but the file format is fixed: JSON: URL_http://jackson.codehaus.org/ [Jackson] , URL_http://code.google.com/p/google-gson/ [GSON] XML: URL_http://jaxb.java.net/ [JAXB] ."""	JSON	0	1	0	0
n	"""I've just ran into some problems with Jackson, Hibernate and Spring, however, I don't know if this issue is related to Jackson or Spring or Hibernate ... see URL_http://stackoverflow.com/questions/3325387/infinite-recursion-with - jackson-json-and-hibernate-jpa-issue."""	Jackson	0	0	0	1
o	"RestAdapter restAdapter = new RestAdapter.Builder().setEndpoint("""",192.168.101.55/test"""").build(),;, should work right? it's for (version 1.5.0) right?"",To royherma did you find a way to give a field map name? I want one specific field to be a map"	RestAdapter	0	0	0	1
o	"Column/ super column indexing using lucene."""	lucene	0	0	0	1
o	It's basically a new UI framework based on Java2D.	Java2D	0	0	0	1
n	"Changed it to 'String all = """""""";' and it gave me """" : null"""" as a return."",""Wow, Great but why eclipse imports ,java.awt.List, not ,java.utils.List,?"	java.utils.List	0	1	0	0
o	The provided InputStream should be closed by the caller.	InputStream	0	0	0	1
o	"I would almost believe that some String functions occur more than collections.,""To Axeman:  I'm sure you're right, but String is in the core java.lang package."	java.lang package	0	1	0	0
o	"Perfect! It took me a while to realise that I could use JarFile even if my MANIFEST is not inside a JAR.,""Correction: I believe I can use Manifest (,docs.oracle.com/javase/6/docs/api/java/util/jar/闁?) class directly, without using JarFile"	Manifest	0	1	0	0
o	"Ivaylo, that's the case indeed, SimpleClientHttpConnectionFactory uses java.net implementation for HTTP requests, while HttpComponentsClientHttpRequestFactory uses Apache's HttpClient underneath"",""Actually this is just a complex pojo. It is confusing called, agree. Real exception is - BpmRestException"	HttpComponentsClientHttpRequestFactory	0	0	0	1
p	"1st point: I disagree. ,entrySet, and ,keySet, wouldn't be hard to implement, would run in ,n, time, and have no performance penalty if they were unused. 2nd point: Yep, I think that's the real answer, but Omkar beat you to it. :-) 3rd point: This doesn't answer the question ,why,. It is indeed what prompted the question闁炽儲鏀簅nstandard API is a pain."",Yep! But To Omkar beat you to it. ? Thanks!"	entrySet	1	0	0	0
o	One can address this problem by re-using the same instance of HttpClient for new requests.	HttpClient	0	1	0	0
p	So personally I would not recommend Glassfish.	Glassfish	0	0	0	1
o	"""If you want a DOM-like API - that is, one where the XML parser turns the document into a tree of Element and Attribute nodes - then there are at least four to choose from: DOM itself, JDOM, DOM4J, and XOM."""	DOM4J	0	1	0	0
o	To PhillipStack You should be able to configure two WebSecurityConfigurerAdapter with different authentication managers  ala: ,stackoverflow.com/questions/33603156/闁?,this really worked for me. but	WebSecurityConfigurerAdapter	0	1	0	0
o	"I found a bug that describes the problem you have in ,jira.spring.io/browse/SPR-9999, . It is from last year but perhaps it has not been fixed yet. It suggest to use a different factory so that another client implementation will be used (RestTemplate template = new RestTemplate(new HttpComponentsClientHttpRequestFactory());"",""To Marios, thank you for your efforts. I was using ,SimpleClientHttpConnectionFactory, before. Your solution works for me when using ,HttpComponentsClientHttpRequestFactory, - perhaps the above mentioned ,sun.net.www.protocol.http.HttpURLConnection, is not "	SimpleClientHttpConnectionFactory	0	1	0	0
p	A nice new library for Java is URL_http://code.google.com/p/serotonin-json/ [Serotonin-JSON] .	Serotonin-JSON	0	1	0	0
o	"""You can try URL_http://openjpa.apache.org/jest.html [JEST] , it works over URL_http://openjpa.apache.org/ [OpenJPA] ."""	JEST	0	0	0	1
p	URL_http://wiki.fasterxml.com/JacksonHome [Jackson] -- powerful data binding (JSON to/from POJOs), streaming (ultra fast), tree model (convenient for untyped access) 	Jackson	0	1	0	0
o	"""I used NetBeans extensively in the past for GUI design, but I am now using IntelliJ with the JFormDesigner plugin."""	JFormDesigner	0	1	0	0
o	"No, it does a one way shutdown, closing the input half of the socket (so that you cannot receive any more data), but still letting you send your message on the output half, which I thought is what you were asking. When you ultimately call close() on the socket, the output side gets closed as well."",""Yes, closing the input stream closes the socket. Ditto the output stream. So of course what you should close is always the output stream, so It gets flushed."	close()	0	0	0	1
o	"Please take a look ,maven.apache.org/guides/getting-started, > Marking this Off-Topic. [Questions asking us to recommend or find a book, tool, software library, tutorial or other off-site resource are off-topic for Stack Overflow as they tend to attract opinionated answers and spam. Instead, describe the problem and what has been done so far to solve it.]"",""That would look like ,import com.fasterxml.jackson.core.JsonParser;,. This is really basic stuff, if you'll excuse my saying so."	com.fasterxml.jackson.core.JsonParser	0	0	0	1
o	"No. Not at all. All I am using is Integer, Long, Double, File, FileReader, BufferedReader, line.split('\t',-1), Map, HashMap and all from Java standard Library. i use my own class Key and Data each class has 4 variables. And I aggregate data by Key and store them in HashMap."",""Thanks for the clarification. since your HashMap will contain lots of elements, you can save a ,little, pain by pre-allocating a large enough HashMap (use the constructor with the ,initialCapacity, argument)."	HashMap	0	0	0	1
o	"""So, using the BufferedInputStreamReader is a much better in this like case."""	BufferedInputStreamReader	0	1	0	0
p	URL_http://flexjson.sourceforge.net/ [Flex-JSON] -- highly configurable serialization EDIT (Aug/2013): One more to consider: 	Flex-JSON	0	1	0	0
o	EDIT: URL_http://help.eclipse.org/help32/index.jsp?topic=/org.eclipse.jdt.doc.	org.eclipse.jdt.doc	0	0	0	1
p	JSqlParser is also a good option.although it has some bugs(or some features not implemented) while parsing oracle pl/sql.see its forum for detail.	JSqlParser	0	0	0	1
o	"If you need a parser there should be a parser in the code base of URL_http://db.apache.org/derby/ [Apache-Derby] ."""	Apache-Derby	0	0	0	1
p	"""Give how complex it can be do to security right, Shiro is very simple to use."""	Shiro	0	1	1	0
p	"""You can consider using memory-mapped files, via URL_http://java.sun.com/javase/6/docs/api/java/nio/channels/FileChannel.html [FileChannel] s ."""	FileChannel	1	0	0	0
o	You have probably heard that enough though and like a previous poster mentioned you can add break points on the actual NullPointerException to see where it occurred.	NullPointerException	0	0	0	1
o	"Caused by: org.eclipse.jgit.errors.TransportException: Nothing to push., Maybe you need a git.add and a git.commit first?"",""Could you precise what do you want to validate, To NikitaJ?"	git.add	0	0	0	1
o	"""All LOG4j properties you can change in a log4j.properties file, so you can use different files for different projects."""	LOG4j	0	1	0	0
o	"""I also think that using read() with arguments like read(Char[], int init, int end) is a better way to read a such a large file(Eg : read(buffer,0,buffer.length)) And I also experienced the problem of missing values of using the BufferedReader instead of BufferedInputStreamReader for a binary data input stream."""	BufferedInputStreamReader	0	0	0	1
o	I recommend WindowBuilder plugin for Eclipse IDE 3.7.2 Indigo / 24 February 2012.	WindowBuilder	0	0	0	1
o	"I ended on others questions you replied to; some people arguing that likes, duration, views, etc... (if i remember the ones you get in a """"statistics"""" call) should be defaults 闁?in my opinion too"",or there should be the possibility to chain api calls on googles server: search.list to videos.list"	search.list	0	1	0	0
p	Here's the link to browse the code: URL_http://swingobj.svn.sourceforge.net/viewvc/swingobj/ [ URL_http://swingobj.svn.sourceforge.net/viewvc/swingobj/ ] The showcase should show you how to do a simple logon actually.. Let me know if you have any questions on it I could help.	swing	0	0	0	1
n	Problem is jaxb and xmlbeans require a mapping schema and arent auto ...	xmlbeans	0	0	0	1
p	Swing is part of the java foundation classes.	Swing 	0	0	0	1
n	Manually handling serialization in Java is a waste of time when you have so many options like JAXB and Jackson.	JAXB	1	0	0	0
o	"I think they would be useful for solving problems like ,this question"",""Well, the factory methods ,Collections.unmodifiable[...](...), could be used even with publicly available classes."	Collections.unmodifiable	0	0	0	1
o	"If those identifier strings are tied to every item (,Node,), not to the container (,nodes,), then you need to make it a property of the ,Node, instead. JS objects with an unknown amount of properties and unknown property names are simply not a good idea/practice. You need to put them in an array and give the array a fixed name."",""You cannot have an undetermined amount of properties in a java bean as well. The topic which you linked basically shows and answers the same: ,use an array property,. Your problem is just the misunderstanding/misconception of basic OO principles, not JSON/Java."	JSON	0	1	0	0
o	I am using JFace and RCP for rich clients.	JFace	0	0	0	1
o	"on further examination of log4j 2.0 while very similar it appears the configuration is not backward compatible with log4j 1.2."""	log4j	0	0	0	1
o	"""For some it will be Shiro, for others it will be Spring Security."""	Shiro	0	0	1	0
o	Option 2 Disable CODETERM3 (your second jboss-web.xml), bundle your Hibernate JARs into your app and override the hibernate-validator JARs	JARs	0	0	0	1
o	"To Robert Harvey I have edited.  The answer provided isn't working for me for some reason...,""I've reopened, but maybe you misunderstood me.  ,getRuntime().totalMemory, ,isn't going to work, for what you want to do."	getRuntime().totalMemory	0	1	0	0
o	"AnalyticsScopes, and ,Analytics, are the part of ,Google Analytics API library,. ,OAuth2Native, is an example. You should implement ,authorization code flow, on your own. I'd recommend you to take a look at ,this good example,."",How did you solve it?"	Analytics	0	0	0	1
o	JavaFX isn't based on Swing either.	JavaFX	0	0	0	1
o	"Only slightly better than ,CreateUser,, ,GetUser,, ,UpdateUser, and borrowed from the hexagonal architecture: ,CreateUser[Request|Response],, ,GetUser[Request|Response],, ,UpdateUser[Request|Response],?"",""Ooh, I like this. To Turing85"	GetUser	0	1	0	0
o	"To MarkRotteveel thanks, I will remove the redundant ,setHeader(""""Content-Type"""", """"text/plain; charset=UTF-8""""),."",why not UTF-8 ?"	setHeader	0	0	0	1
o	"BTW, ,Diff, is ,not, the amount of used memory. It is a measurement of the precision of ,freeMemory,, i.e., the difference between the previously reported amount of ,freeMemory, and the current reported amount. You would expect it to remain fairly constant because it would be odd for the precision of ,freeMemory, to change chaotically."",""runtime.gc();, is almost unnecessary. It just hints at the JRE to start GC. But should GC be started is up to JRE."	freeMemory	0	1	0	0
p	Hot deployment is more reliable on GlassFish 3.	GlassFish	1	0	0	0
o	"I haven't worked with the library myself, but I did find some documentation on it, albeit scattered a bit. See the addition information above..."",I'm using CRFClassifier. Looks easy to configure."	CRFClassifier	0	0	0	1
p	"""java.security deals with everything else: key management, certtificate management, and signatures."""	java.security	0	0	1	0
o	To Michael - maybe move your example to an answer by itself?,How about mentioning a simple fix such as creating a new String object explicitly?	String	0	0	0	1
o	"""Here is how to redirect everything to SLF4J:"	SLF4J	0	0	0	1
p	I think the below answer (IOUtils.toString()) is simpler since there is no need for a StringWriter.	IOUtils.toString()	0	1	0	0
o	"""Replace your """"main"""" class with DebuggerMainWrapper in your start-up scripts 2."""	DebuggerMainWrapper	0	0	0	1
p	Another really great part of RESTEasy is the good support for multipart form data.	RESTEasy	0	1	0	0
o	"If the parameter is """"translated_text"""" with underscore and the innerClass iis """"translatedText"""", the result for this variable is null. I'd resolved this: ,stackoverflow.com/a/15907855/3332734"",""Yeah! To SerializeName(""""json_field"""") it's a way."	translatedText	0	1	0	0
o	"""It's almost always Swing vs. SWT (for me at least), for small comparison you could check [What are the main things that an experienced Java SWT programmer should be aware of when moving to Swing?"""	SWT	0	0	0	1
o	You can use apache commons.In the IOUtils you can find the toString metod with 3 helpfull implementations.	IOUtils	0	1	0	0
n	Swing component is platform independent3 .	Swing	0	0	0	1
o	"If you get an error like """"You can't delete all the rows on the sheet."""" it's because when you update the grid properties you also need to set rowCount and columnCount properties as well. ,EX: sheet.updateProperties({  gridProperties: { frozen_row_count: 0, rowCount: 1, columnCount: headers.length } });"",Thank you for this."	columnCount	0	1	0	0
o	"Guava provides a ,ForwardingSet, class that forwards all calls to a delegate by default. Then you can just override add and addAll."",""Actually, addAll and the constructors don't need to be overridden since they are defined in AbstractSet and AbstractCollection to simply call the add method.  So only add really needs to be overridden."	AbstractCollection	0	1	0	0
o	"Generally speaking if something has API you can interact with it. There are plenty repos on github that you can use in order to understand how to do it. ,Searching on github"",""You can look on already working app - ,Github, - the author is using rest and gson ,Gson on github,. Gson is library that can convert java objects to json and json to java object. The example usage can be find in MDroid repo ,example gson (json) + rest,.  SO it's cleary possible to interact with Moodle via REST/JSON api :)."	REST	0	1	0	0
o	"Do you ask """"what is the use of StringBuilder"""" or """"Why use StringBuilder in this case""""? Generally StringBuilder is for fast string building and concatenation (as the name suggests). In this case it is the only way to achieve desired effect (returning string value by modification of function argument). You can't do this with String object as it is immutable."",""To Bombe:  (1) Even if object creation is cheap, object creation ,and, assigning cannot be cheaper than just assigning  (2) It is not only creation that costs; there is also garbage colletion that costs.  (3) There are Java evironments where object creation"	StringBuilder	0	0	0	1
o	"now that i look at this some more you could even build a query factory to avoid that awkward constructor call: QueryFactory.customer().withName(""""john(.*)"""").olderThan(10) QueryFactory.customer() would be a static factory method tahts returns CustomerQueries. you could then reuse the same query factory for any other entity queries you might have"",""If you developing an API is best to not add functionality you may want to remove later, it is easier to add it than to remove it."	QueryFactory.customer().withName	0	1	0	0
o	"""I'm wondering if there are other libraries, perhaps more recent, that I should consider for this that might be easier to use than Jersey?"""	Jersey	0	1	0	0
p	"""So components like JButton,JTextArea, etc., are lightweight because they do not have an OS peer."""	JTextArea	1	0	0	1
o	It is not related to Swing and AWT at all.	AWT	0	0	0	1
n	Found a good related topic here: URL_http://stackoverflow.com/questions/921262 /how-to-download-and-save-a-file-from-internet-using-javaMight give that a try tonight when I get home :).	javaMight	0	0	0	1
p	Jackson is amazingly customizable.	Jackson	0	1	0	0
o	"I'd suggest not explicitly allocating a HashSet, but instead take a Set<E> argument in the constructor. This then makes NoNullSet a decorator class that can work w/ HashSet or TreeSet or EnumSet or whatever."",""Oh, I see you've added your own answer instead."	HashSet	0	1	0	0
n	Changed to use StringBuilder.	StringBuilder	0	1	0	0
o	"I disagree with throwing an ,IllegalArgumentException,. It should be a ,NullPointerException,. Although it's an ,endless discussion,, ,Set.add(), already throws a NPE ,""""if the specified element is null and this set does not permit null elements"""",. You would be creating different behaviour for the same thing by throwing an ,IllegalArgumentException, now."",""It should throw a ,NullPointerException, as defined by the ,Collection, and ,Set, documentations. ,To throws NullPointerException if the specified element is null and this set does not permit null elements,."	NullPointerException	0	0	0	1
p	"""FileInputStream, ByteChannel), rather than character APIs (BufferedReader, etc.)."""	BufferedReader	0	0	0	1
p	"""That's right, JAXB is definitely the best option!."""	JAXB	0	0	0	1
o	"I added code I have at the moment but the callback is not triggered when the file reaches its max size. Where I go wrong?,""You are using constant value ,2000, for Toast length, maybe you should use ,Toast.LENGTH_SHORT, or ,Toast.LENGTH_LONG, instead?"	Toast.LENGTH_LONG	0	1	0	0
n	They are designed to read in a JSON String and provide access to their properties via a get() method.	JSON	0	0	0	1
o	"I imagine ,java.util.jar, would cover Java, and there may be a similar abstraction for C++. Does that meet the requirements?"",""SQLite is not a bad idea either, once you get over having to use SQL. It's efficient and reistent to corruption, and can be accessed safely by concurrent processes (on the same machine)."	java.util.jar	0	1	0	0
p	URL_http://couchdb.apache.org/ [CouchDB]	CouchDB	0	0	0	1
n	This made Swing unfortunately slow to catch on.	Swing	1	0	0	0
p	"URL_http://restfulie.caelum.com.br/ [Restfulie] , based on the VRaptor web framework, has both server and client side implementations with very good Hypermedia support."""	Restfulie	0	1	0	0
o	"Many low level calls, just call the underlying C method and given more developers knew C at the time it made migration easier."",""It is true that exceptions are not meant for control flow but the reason for ,EOFException, is to provide an escape hatch in corner cases where requirements make other approaches too difficult. One example is ,DataInputStream.readFully(),."	DataInputStream.readFully()	0	0	0	1
o	"I will set also the 'referer' property in order to do successful integration tests from your PC, something like this: """"list.getRequestHeaders().set('referer', 'www.myautorizedsite.com');"""""",""Use this in your AsyncTask Class: ,Translate translate = TranslateOptions.newBuilder().setApiKey(""""API_KEY"""").build().getService();, To nanosoft"	list.getRequestHeaders()	0	0	0	1
p	The best known are URL_http://nekohtml.sourceforge.net/ [NekoHTML] and URL_http://jtidy.sourceforge.net/ [JTidy] .	jtidy	0	0	0	1
o	java.net will require one thread per socket.	java.net	0	0	0	1
o	"""In particular, if you are working in a serious Java web application stack, you are often in _multiple_ logging environments at one time; (e.g hibernate may use log4j, and tomcat java.util.logging)."""	log4j	0	1	0	0
o	URL_https://java.net/projects/abeille/ [Abeille] is very good and is based on the JGoodies FormLayout.	Abeille	0	1	0	0
o	"""I am using Spring Data Graph, and the neo4j, and I have read that composed Id aren't allowed."""	neo4j	0	1	0	0
p	I like XStream.	XStream	0	0	0	1
o	"""Code with SLF4J, and choose backend at runtime."""	SLF4J	0	0	0	1
p	You might want to see the discussion about Swing vs. Qt URL_http://stackoverflow.com/questions/422956/java-swing-or-java-qt [here] .	Swing	0	0	0	1
o	"I am using a - public class LocationActivity extends ListActivity implements LocationListener {  - I am not calling listView = (ListView) findViewById(R.id.listview);. Thanks for ur feedback,""Hello Ravi Thapliyal, thanks . I try it. I can get the position of the listView Item, But I can not the the data of the list view. I have edited my question."	LocationActivity	0	1	0	0
n	"""JGoodies is another layer on top of Swing, like SwingX."""	JGoodies	0	0	0	1
o	Could you please provide an example of JPA annotation that can be used in RESTful API client?,Do you mean annotations like org.springframework.data.rest.core.annotation.RepositoryRestResource or something like javax.persistence.PersistenceContext?	javax.persistence.PersistenceContext	0	0	0	1
n	I am having a hard time understanding JAAS.	JAAS	0	1	0	0
n	"""Maybe too late, but it may help somebody that finds this thread looking for the problem described above about 'Caused by: java.lang.NoSuchMethodException: org.hibernate.validator.ClassValidator....': I'm using Jboss 4.2, Hibernate Core 3.6.5, Hibernate Validator 4.1.0, using maven, and I have the same problem."""	java.lang.NoSuchMethodException	0	0	0	1
o	"keep in mind that all those methods are mandatory in map: ,developer.android.com/reference/java/util/Map.html, (also, if you call it a map for higher abstraction, you can't use the SparseIntArray specific functions. And iterating using ,size, and ,keyAt, is designed to be more efficient that the ,entrySet, from ,Map,, while being a little less convenient)"",""Sorry; I don't see how this answers the question. AFAIK, the Map interface doesn't define how an implementation works under the bonnet, nor how efficient it is闁炽儲鎽?believe that's the whole point."	entrySet	0	0	0	1
o	To RobertJohnson - the ,FizzService, knows it needs to return a ,Fizz,, but its parent ,AbstractService, only knows the ,invoke(...), is returning an Object. But ,AbstractService, is also the parent of ,WidgetService,, which returns ,Widget,s, and of ,BuzzS	AbstractService	0	0	0	1
n	"Thanks to a suggestion from URL_http://stackoverflow.com/users/101272/patrick [Patrick] , made the function more robust when handling an empty input stream."""	Patrick	1	0	0	1
o	"If there are data types in the profile that you didn't know about previously, chances are you're using a 3rd party library for something. There could be a possible culprit for leaking memory!"",""Thanks for the clarification. since your HashMap will contain lots of elements, you can save a ,little, pain by pre-allocating a large enough HashMap (use the constructor with the ,initialCapacity, argument)."	HashMap	0	1	0	0
p	Of course doing it this way depends on how your ids are stored but for me it generally makes my code a lot cleaner and the Jackson Library is pretty good performance wise.	Jackson	1	1	0	0
o	To Charlie: Unless you work with a list interface and don't want to ever directly know what's your underlying implementation.,I wonder what other list implementations are possible apart from the built in LinkedList/ArrayList in witch a common getFirst() get. I wonder what other list implementations are possible apart from the built in LinkedList/ArrayList in witch a common getFirst() getLast() interface method wouldn't have been O(2)?	ArrayList	0	1	0	0
o	"I think using ,scrolls, should be more robust."",""It depends on how you compose your ,SearchRequestBuilder,. For instance, if you sort the results by ascending doc ID, and only add docs with a higher doc ID, you will iterate through all results. This answer was written for ES 1.7, when Scrolls did not exist yet. They may be a better alternative indeed."	SearchRequestBuilder	0	1	0	0
p	"""JDeveloper ( URL_http://www.oracle.com/technetwork /developer-tools/jdev/overview/index.html [ URL_http://www.oracle.com/technetwork /developer-tools/jdev/overview/index.html] ) is another solution, and does allow you to edit the code... but I feel netbeans more intuitive."""	JDeveloper	0	1	0	0
p	Here are some of the links I used to help understand JAAS: URL_http://www.owasp.org/index.php/JAAS_Tomcat_Login_Module [ URL_http://www.owasp.org/index.php/JAAS_Tomcat_Login_Module ] URL_http://www.javaworld.com/jw-09-2002/jw-0913-jaas.html [ URL_http://www.javaworld.com/jw-09-2002/jw-0913-jaas.html ] URL_http://www.jaasbook.com/ [ URL_http://www.jaasbook.com/ ] URL_http://roneiv.wordpress.com/2008/02/18/jaas-authentication-mechanism-is- it-possible-to-force-j_security_check-to-go-to-a-specific-page/ [ URL_http://roneiv.wordpress.com/2008/02/18/jaas-authentication-mechanism-is-it - possible-to-force-j_security_check-to-go-to-a-specific-page/] Also have a look at the Apache tomcat realms configuration how-to: URL_http://tomcat.apache.org/tomcat-6.0-doc/realm-howto.html [ URL_http://tomcat.apache.org/tomcat-6.0-doc/realm-howto.html ] .	JAAS	0	0	0	1
o	Jersey or Apache CXR?	Apache CXR	0	0	0	1
p	I think the below answer (IOUtils.toString()) is simpler since there is no need for a StringWriter.	IOUtils.toString()	0	1	0	0
o	"InputSupplier is now ,deprecated,."",""Instead of the deprecated ,InputSupplier,, Guava offers ,ByteSource, and ,CharSource, since version 14."	InputSupplier	0	0	0	1
o	"For an existing subtask, I was able to get the magic ,jira_subtask_link, issue link to make the existing subtask appear under a different parent. However, it didn't remove the subtask from the current parent. I don't see how to get the id for these magic issue links. Any ideas?"",""They don't have any checks, you can create circular parent-child relations...     LinkIssuesInput linkIssuesInput = new LinkIssuesInput( """"1"""", """"2"""", """"jira_subtask_link"""");        LinkIssuesInput linkIssuesInput = new LinkIssuesInput( """"2"""", """"1"""", """"jira_subtask_link"""");"	LinkIssuesInput	0	0	0	0
p	I found the Glassfish enviroment very counterintuitive.	Glassfish	0	1	0	0
n	Changed to use StringBuilder.	StringBuilder	0	1	0	0
o	"DejanRistic is right. Just bear in mind that ,jsonObject.put(""""xyz"""", new JSONArray(Arrays.asList(floatArray))), will give you an array containing your e.g. float array (,{ """"xyz"""": [[1.0, 2.0, 3.0]] },), while ,JSONArray arr = new JSONArray(); for (float value : floatArray) { arr.put(value); }; jsonObject.put(""""xyz"""", arr), would in turn provide you just with an array, as you'd expect (,{ """"xyz"""": [1.0, 2.0, 3.0] },)."",""where can i see the level in which this was introduced (in the documentation)? (just found it, small on the right side of the grey method declaration)"	jsonObject.put	0	1	0	0
o	What's the best way to share business object instances between Java web apps using JBoss and Spring?	JBoss	0	0	0	1
o	"Also if some authentication is there, might be calling ,linec.connect();, before using ,OutputStreamWriter, will help. ,linec.disconnect(), at the end to disconnect"",Your payload is not a valid JSON."	OutputStreamWriter	0	1	0	0
o	"I ended up writing three classes: (1) TurnOnDebuggerException, a plain 'ol Java exception, (2) DebuggerPoller, a background thread the checks for the existence of a specified file on the filesystem, and (3) DebuggerMainWrapper, a class that kicks off the polling thread and then reflectively calls the main method of another specified class."""	DebuggerPoller	0	0	0	1
p	"""WebServices are working better on GlassFish,I had a number of issues with more advanced configuration on JBoss 5."""	GlassFish	0	1	0	0
o	"Hi, is it possible to join with condition e.g:   ,address.on(cb.greatest(addresses.get(""""id"""")));, ?"",""Why has this so many upvotes, there is no """"join"""" on the query object!"	"address.on(cb.greatest(addresses.get(""""id"""")))"	0	1	0	0
n	Could you describe precisely what caused you troubles in our Restlet tutorials?	Restlet	0	0	0	1
o	"To r0ast3d, See ,my answer,. ;-)"",I get java.io.IOException: Server returned HTTP response code: 403 for URL from some time. Do you have any solution for that?"	java.io.IOException	0	0	0	1
o	"""Yes, just pipe it from the FileInputStream to the FilOutputStream using only a suitably sized byte buffer array."""	FileInputStream	0	0	0	1
o	To MarkTielemans The messages have many similarities, but also many differences. Say the HelloResponse contains the serial number of the device. I would like the HelloResponse object to have a getSerialNumber() method. How could I achieve this with generics	HelloResponse	0	0	0	1
o	"""Also see: ( URL_http://commons.apache.org/proper/commons-io/javadocs/api-2.4/o rg/apache/commons/io/IOUtils.html#toString%28java.io.InputStream,%20java.lang."""	java.io.InputStream	0	0	0	1
o	i would suggest adding a custom FilterOutputStream between the FileOutputStream (on the bottom) and OutputStreamWriter.	FilterOutputStream	0	0	0	1
o	"If you don't want the dialog, you need not call the PDFPrinter.showPrintDialog() method. Instead, call the PdfPrinter.print(String pageRange, int numOfCopies) method. It is mentioned in the article in the last line."",""Convert the Office document to PDF first, and print that.  For docx, try docx4j; for xlsx and old binary formats, try POI or, for a non Java approach, OpenOffice."	PdfPrinter.print(String pageRange, int numOfCopies)	0	1	0	0
o	"If the server is running Plugin.jar, you can create public methods inside its classes and allow devs to use them, importing them in their project. So you can have a ,PluginAPI, class with the method ,apiMethod(), inside Plugin.jar and it'll work as an API (you said that people will need your plugin running anyway)"",""But Plugin.jar will be running on the server? If that's true, they already have access to the main Plugin.jar"	apiMethod()	0	1	0	0
o	"I am getting this exception ,Exception in thread """"main"""" java.lang.ClassCastException: com.eviware.soapui.impl.wsdl.testcase.WsdlTestCaseRunner cannot be cast to com.eviware.soapui.model.iface.MessageExchange,. Do you have any idea"",""You need to iterate through ,runner.getResults(),."	com.eviware.soapui.model.iface.MessageExchange	0	1	0	0
o	Log4j and logback are regular logging libs.	Log4j	0	0	0	1
o	"Hi Ferdynand: this is an implementation detail - so there is no """"official"""" documentation. As a matter of fact there is actualy no such thing as """"the connection pool"""". The HttpClient supports both HTTP/1.1 and HTTP/2 and so it has two pools - which are handled differently because of the specifics of each protocol. My answer above concerns only the HTTP/1.1 connection pool. By default it is unbounded, and connections in that pool are kept alive for 1200 seconds, unless closed by the server side."",""This answer to basically the same question covers it well: ,stackoverflow.com/a/53620696/1827771"	HttpClient	0	1	0	0
o	"Cool it actually worked.  I was able to get the Android device's default timezone by calling TimeZone.getDefault().,""it is not changing, it is same as UTC time, what can i do ?"	TimeZone.getDefault()	0	1	0	0
o	"Always add the code to the question instead of on an external link, to keep history for future consults. To JakariaRidoy"",""Which service layer should i change ,StudentService, or ,RegistrationService,  ,StudentService.java"	RegistrationService	0	0	0	1
